TIME,year,month,T#AT#apples_golden,T#CZ#apples_golden,T#ES#apples_golden,T#FR#apples_golden,T#IT#apples_golden,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp
2004-04-26,2004,4,26.9,,,,57.0,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-05-03,2004,5,27.1,,,,58.79,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-05-10,2004,5,27.42,,,,60.57,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-05-17,2004,5,27.83,,,,60.86,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-05-24,2004,5,28.16,,,,61.14,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-05-31,2004,5,,,,,61.43,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-06-07,2004,6,,,,,62.14,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-06-14,2004,6,,,,,62.86,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-06-21,2004,6,,,,,63.29,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-06-28,2004,6,59.36,,,,63.71,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-07-05,2004,7,66.91,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-07-12,2004,7,74.48,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-07-19,2004,7,78.99,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-07-26,2004,7,81.37,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-08-02,2004,8,82.51,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-08-09,2004,8,83.73,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-08-16,2004,8,84.92,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-08-23,2004,8,86.26,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-08-30,2004,8,89.84,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-09-06,2004,9,93.33,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-09-13,2004,9,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-09-20,2004,9,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-09-27,2004,9,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-10-04,2004,10,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-10-11,2004,10,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-10-18,2004,10,,,58.67,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-10-25,2004,10,,,58.0,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-11-01,2004,11,65.72,39.41,57.89,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-11-08,2004,11,63.14,38.41,57.65,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-11-15,2004,11,61.12,37.45,57.48,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-11-22,2004,11,60.0,37.25,57.33,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-11-29,2004,11,59.08,36.96,57.15,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-12-06,2004,12,58.04,36.66,56.49,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-12-13,2004,12,57.35,36.45,55.71,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-12-20,2004,12,56.86,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-12-27,2004,12,,,,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2005-01-03,2005,1,,,,,,,,,,,,,,,,,
2005-01-10,2005,1,,,,,,,,,,,,,,,,,
2005-01-17,2005,1,,,,,,,,,,,,,,,,,
2005-01-24,2005,1,,,,,,2.49,2.08,1.6,1.92,3.23,2.33,36218.15,31738.85,34342.99,34352.03,25776.8,49570.67
2005-01-31,2005,1,,,,,,2.59,2.05,1.58,1.86,3.27,2.36,36415.33,31844.27,34402.07,34490.74,25994.25,50024.79
2005-02-07,2005,2,,,,,,2.68,2.02,1.56,1.8,3.32,2.4,36612.52,31949.68,34461.16,34629.46,26211.7,50478.9
2005-02-14,2005,2,55.8,35.63,52.6,,68.57,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-02-21,2005,2,56.02,36.09,52.65,,68.29,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-02-28,2005,2,55.9,36.49,52.57,73.5,68.14,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-03-07,2005,3,55.88,36.78,52.77,73.21,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-03-14,2005,3,55.92,37.25,52.93,72.81,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-03-21,2005,3,55.94,37.17,52.9,72.43,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-03-28,2005,3,56.16,36.91,52.94,72.21,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-04-04,2005,4,56.2,36.63,52.77,72.17,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-04-11,2005,4,55.82,36.3,51.94,72.17,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-04-18,2005,4,55.33,35.82,51.46,72.14,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-04-25,2005,4,54.65,35.3,50.91,72.07,62.86,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-05-02,2005,5,,34.92,50.51,72.12,62.43,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-05-09,2005,5,53.98,34.97,50.05,72.19,62.0,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-05-16,2005,5,53.94,34.91,49.43,72.19,62.0,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-05-23,2005,5,53.92,35.03,48.85,72.07,61.71,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-05-30,2005,5,53.86,35.04,49.08,71.86,61.43,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-06-06,2005,6,53.86,35.34,48.72,,61.14,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-06-13,2005,6,54.02,35.87,48.55,,60.57,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-06-20,2005,6,54.06,36.37,47.82,,60.0,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-06-27,2005,6,54.0,36.64,46.96,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-07-04,2005,7,53.92,37.13,46.02,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-07-11,2005,7,53.65,37.15,44.95,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-07-18,2005,7,,,43.08,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-07-25,2005,7,,,41.21,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-08-01,2005,8,,,39.49,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-08-08,2005,8,51.33,,38.34,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-08-15,2005,8,,,37.06,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-08-22,2005,8,,,35.96,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-08-29,2005,8,,,34.84,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-09-05,2005,9,,,34.14,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-09-12,2005,9,,,33.82,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-09-19,2005,9,,,33.28,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-09-26,2005,9,,,32.94,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-10-03,2005,10,,,33.65,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-10-10,2005,10,,,34.23,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-10-17,2005,10,,,35.1,,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-10-24,2005,10,,,36.13,25.91,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-10-31,2005,10,,,36.87,28.21,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-11-07,2005,11,44.28,,37.66,32.93,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-11-14,2005,11,44.84,,38.06,38.45,55.0,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-11-21,2005,11,44.88,,37.82,40.82,55.0,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-11-28,2005,11,44.31,,38.02,44.88,55.0,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-12-05,2005,12,43.82,,37.9,48.31,55.0,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-12-12,2005,12,43.47,36.86,37.73,47.75,55.0,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-12-19,2005,12,43.71,37.26,37.87,49.0,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2005-12-26,2005,12,44.37,,,50.26,,2.78,1.99,1.55,1.75,3.37,2.43,36809.7,32055.09,34520.24,34768.18,26429.15,50933.02
2006-01-02,2006,1,45.35,,,50.8,,,,,,,,,,,,,
2006-01-09,2006,1,46.37,,,54.58,,,,,,,,,,,,,
2006-01-16,2006,1,46.86,,,55.04,,,,,,,,,,,,,
2006-01-23,2006,1,46.94,,,55.44,,2.22,2.05,1.56,1.71,3.45,3.29,37892.79,32897.74,35568.03,35740.77,27549.11,52873.67
2006-01-30,2006,1,46.92,,,59.01,,2.07,2.06,1.57,1.7,3.47,3.5,38163.56,33108.4,35829.98,35983.92,27829.1,53358.84
2006-02-06,2006,2,47.18,,,60.72,,1.93,2.08,1.57,1.69,3.49,3.72,38434.33,33319.06,36091.93,36227.06,28109.09,53844.0
2006-02-13,2006,2,47.51,,38.8,60.26,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-02-20,2006,2,47.41,,38.55,59.95,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-02-27,2006,2,47.12,,38.49,59.7,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-03-06,2006,3,47.24,,38.35,59.44,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-03-13,2006,3,47.67,40.47,38.31,59.25,54.0,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-03-20,2006,3,48.26,40.68,38.45,59.16,54.0,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-03-27,2006,3,48.9,40.92,38.58,59.07,54.0,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-04-03,2006,4,49.39,41.09,38.62,58.95,54.0,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-04-10,2006,4,49.73,41.21,38.39,58.96,54.0,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-04-17,2006,4,50.26,41.23,38.45,59.31,54.0,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-04-24,2006,4,51.22,41.63,38.67,59.77,54.0,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-05-01,2006,5,52.2,41.96,38.64,60.33,54.0,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-05-08,2006,5,52.69,42.39,38.54,61.13,54.0,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-05-15,2006,5,53.28,42.77,38.92,,54.43,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-05-22,2006,5,54.24,43.09,39.08,63.66,55.0,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-05-29,2006,5,55.47,44.53,39.43,65.08,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-06-05,2006,6,56.51,46.56,39.71,66.69,56.14,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-06-12,2006,6,57.12,,40.02,68.24,56.71,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-06-19,2006,6,57.47,,40.5,69.65,57.29,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-06-26,2006,6,58.12,,41.1,,57.86,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-07-03,2006,7,58.59,,41.05,,58.0,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-07-10,2006,7,58.8,,40.65,,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-07-17,2006,7,59.1,,40.33,,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-07-24,2006,7,59.69,,39.81,,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-07-31,2006,7,60.41,,39.24,,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-08-07,2006,8,61.61,,38.65,,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-08-14,2006,8,63.26,,38.56,,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-08-21,2006,8,65.06,,,,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-08-28,2006,8,66.67,,,,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-09-04,2006,9,68.1,,,,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-09-11,2006,9,69.2,,,,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-09-18,2006,9,70.96,,,,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-09-25,2006,9,72.65,,,,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-10-02,2006,10,73.55,,,,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-10-09,2006,10,74.02,,,,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-10-16,2006,10,74.47,,,,,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-10-23,2006,10,74.23,,52.41,77.57,70.71,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-10-30,2006,10,73.69,40.21,52.42,73.09,70.43,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-11-06,2006,11,72.1,40.59,52.37,69.34,70.14,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-11-13,2006,11,69.86,40.46,52.42,68.46,69.86,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-11-20,2006,11,68.02,40.36,52.11,69.36,69.57,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-11-27,2006,11,66.63,40.61,52.2,70.31,69.29,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-12-04,2006,12,65.57,40.78,52.19,71.12,69.0,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-12-11,2006,12,64.98,41.2,52.47,71.79,69.0,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-12-18,2006,12,64.61,41.52,52.62,72.43,69.0,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2006-12-25,2006,12,64.67,,52.82,73.28,69.0,1.79,2.09,1.58,1.68,3.52,3.93,38705.11,33529.73,36353.88,36470.21,28389.08,54329.16
2007-01-01,2007,1,64.69,,53.04,72.93,69.0,,,,,,,,,,,,
2007-01-08,2007,1,64.33,,53.21,72.55,69.0,,,,,,,,,,,,
2007-01-15,2007,1,64.14,,53.3,72.26,69.0,,,,,,,,,,,,
2007-01-22,2007,1,63.9,,53.45,72.1,69.07,1.81,1.94,1.99,1.57,3.1,4.48,41913.14,36010.31,39374.57,39377.3,30790.38,58367.59
2007-01-29,2007,1,63.8,,53.61,72.07,69.07,1.81,1.9,2.09,1.54,3.0,4.62,42715.15,36630.46,40129.74,40104.08,31390.7,59377.2
2007-02-05,2007,2,63.78,,53.74,72.07,69.07,1.82,1.87,2.2,1.51,2.89,4.76,43517.16,37250.6,40884.91,40830.85,31991.03,60386.81
2007-02-12,2007,2,63.55,44.81,53.81,71.87,69.07,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-02-19,2007,2,63.69,45.32,53.79,71.81,69.07,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-02-26,2007,2,63.86,45.85,53.83,71.93,69.07,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-03-05,2007,3,63.71,46.12,53.78,71.79,69.07,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-03-12,2007,3,63.57,46.36,53.7,71.88,69.0,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-03-19,2007,3,63.43,46.27,53.47,72.02,69.0,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-03-26,2007,3,63.53,46.41,53.39,72.23,69.0,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-04-02,2007,4,63.9,,53.37,,69.0,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-04-09,2007,4,,,53.4,,69.0,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-04-16,2007,4,,,53.36,,69.0,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-04-23,2007,4,,,53.42,78.94,69.0,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-04-30,2007,4,67.0,,53.6,80.79,69.0,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-05-07,2007,5,66.92,,54.08,82.67,69.0,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-05-14,2007,5,66.86,,54.59,84.76,69.0,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-05-21,2007,5,66.94,,55.15,85.83,69.0,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-05-28,2007,5,66.27,,55.87,86.33,69.0,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-06-04,2007,6,65.96,,56.85,,,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-06-11,2007,6,66.8,,57.85,,,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
2007-06-18,2007,6,68.02,,58.9,,,1.82,1.83,2.3,1.49,2.79,4.9,44319.17,37870.75,41640.08,41557.62,32591.35,61396.42
