TIME,year,month,T#AT#beef_adults,T#BE#beef_adults,T#CZ#beef_adults,T#DE#beef_adults,T#DK#beef_adults,T#EE#beef_adults,T#EL#beef_adults,T#ES#beef_adults,T#FI#beef_adults,T#FR#beef_adults,T#IE#beef_adults,T#IT#beef_adults,T#LT#beef_adults,T#LU#beef_adults,T#LV#beef_adults,T#NL#beef_adults,T#PL#beef_adults,T#PT#beef_adults,T#RO#beef_adults,T#SE#beef_adults,T#SI#beef_adults,T#SK#beef_adults,C#BEL#inflazione,C#ITA#inflazione,C#DEU#inflazione,C#FRA#inflazione,C#ESP#inflazione,C#IRL#inflazione,C#BEL#gdp,C#ITA#gdp,C#DEU#gdp,C#FRA#gdp,C#ESP#gdp,C#IRL#gdp
2003-06-02,2003,6,263.19,250.31,,248.17,247.72,,366.25,286.41,251.04,273.53,236.98,310.84,,285.31,,233.3,,341.42,,263.87,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-06-09,2003,6,261.41,251.92,,244.98,246.36,,365.12,285.41,251.46,272.91,238.25,310.96,,284.9,,233.71,,341.46,,263.11,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-06-16,2003,6,259.74,253.48,,241.21,247.44,,364.49,283.59,251.33,272.22,239.67,311.19,,285.13,,234.8,,341.65,,261.97,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-06-23,2003,6,258.12,254.62,,237.59,246.51,,364.56,281.14,251.62,271.08,240.82,311.01,,285.13,,235.95,,341.45,,260.54,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-06-30,2003,6,256.71,255.37,,235.06,245.96,,363.76,,251.81,269.93,241.27,311.05,,285.19,,237.66,,341.09,,259.17,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-07-07,2003,7,256.09,255.86,,233.45,245.16,,363.52,277.59,252.2,268.86,241.43,311.76,,285.35,,237.32,,340.28,,257.91,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-07-14,2003,7,255.69,255.91,,232.02,,,364.08,276.52,252.37,267.93,241.29,312.2,,285.54,,236.8,,339.2,,256.53,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-07-21,2003,7,255.23,255.92,,230.73,243.83,,364.5,275.56,252.64,267.14,241.03,313.01,,283.91,,236.63,,337.81,,254.99,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-07-28,2003,7,254.39,255.94,,229.79,243.31,,364.89,275.54,252.82,266.61,240.54,313.14,,285.27,,236.86,,336.05,,254.17,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-08-04,2003,8,253.49,256.03,,229.27,243.7,,365.97,275.81,253.15,266.32,239.89,312.97,,284.29,,236.58,,334.0,,253.68,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-08-11,2003,8,252.77,255.87,,229.02,244.23,,366.31,276.48,253.49,266.32,239.47,313.14,,283.47,,235.69,,332.12,,253.42,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-08-18,2003,8,252.79,255.73,,228.71,244.08,,366.44,277.11,253.41,266.48,239.24,312.99,,282.72,,233.97,,330.17,,253.17,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-08-25,2003,8,252.67,255.6,,228.66,244.13,,367.31,277.25,253.34,266.8,238.88,311.86,,282.17,,233.53,,328.19,,252.81,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-09-01,2003,9,252.78,255.48,,228.8,244.1,,368.09,277.71,252.93,267.32,238.17,311.27,,281.89,,234.09,,326.75,,252.22,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-09-08,2003,9,253.32,255.46,,229.3,243.67,,368.09,278.13,252.77,267.75,236.97,310.32,,283.53,,233.65,,325.86,,251.32,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-09-15,2003,9,254.12,255.54,,230.28,243.87,,368.25,277.99,252.6,268.28,235.25,310.17,,282.1,,233.37,,325.4,,250.38,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-09-22,2003,9,255.07,255.51,,231.4,244.23,,367.89,277.75,252.92,268.71,233.84,310.3,,283.17,,233.02,,324.79,,249.88,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-09-29,2003,9,256.08,255.54,,232.35,244.56,,367.42,277.46,252.2,269.08,232.61,310.17,,284.45,,232.32,,324.71,,248.55,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-10-06,2003,10,256.45,255.27,,233.2,244.69,,367.75,277.12,251.94,269.41,231.66,310.24,,285.02,,231.76,,324.52,,247.35,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-10-13,2003,10,256.29,254.89,,233.71,244.7,,367.91,276.67,251.98,269.63,230.82,310.93,,284.89,,232.38,,324.46,,245.26,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-10-20,2003,10,256.0,,,234.03,244.94,,367.67,275.76,251.97,269.75,230.51,310.96,,285.0,,232.36,,323.96,,242.69,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-10-27,2003,10,255.88,,,234.1,245.19,,367.89,274.95,251.23,269.93,230.85,311.35,,284.12,,233.54,,323.27,,240.35,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-11-03,2003,11,255.69,252.94,,233.73,244.96,,368.02,274.6,250.62,269.99,231.68,311.21,,283.83,,233.68,,322.54,,237.19,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-11-10,2003,11,255.45,252.28,,233.18,244.89,,368.1,274.44,250.46,270.28,232.64,311.85,,282.9,,233.91,,321.89,,233.19,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-11-17,2003,11,255.28,251.5,,232.51,244.39,,368.58,274.58,250.76,270.77,233.63,313.41,,282.18,,235.04,,320.42,,229.41,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-11-24,2003,11,255.01,251.12,,231.48,244.48,,368.67,275.14,250.27,271.29,234.76,313.58,,282.56,,236.58,,319.09,,225.98,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-12-01,2003,12,254.68,250.79,,230.07,244.59,,368.42,276.13,249.62,271.58,236.5,312.95,,282.54,,237.08,,317.85,,223.57,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-12-08,2003,12,254.02,250.5,,228.32,243.45,,368.61,277.57,249.27,271.82,238.34,312.43,,283.21,,236.52,,316.9,,222.19,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-12-15,2003,12,252.98,250.26,,226.48,,,368.68,279.03,249.73,271.97,240.36,311.1,,281.23,,235.94,,316.05,,220.5,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-12-22,2003,12,252.49,249.69,,225.32,,,368.52,280.37,249.32,272.29,242.44,310.45,,281.89,,235.08,,315.12,,219.34,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2003-12-29,2003,12,252.29,249.18,,224.95,240.43,,368.42,281.75,248.54,272.51,245.19,309.17,,282.89,,235.0,,314.47,,218.76,,,1.59,2.67,1.03,2.1,3.04,3.49,30655.21,27526.32,30310.36,29627.92,21510.84,41203.53
2004-01-05,2004,1,252.23,248.67,,226.12,239.63,,368.14,283.14,247.78,272.92,247.56,307.35,,282.15,,234.61,,314.54,,219.63,,,,,,,,,,,,,,
2004-01-12,2004,1,253.15,248.14,,228.45,238.63,,367.75,284.74,247.88,273.47,249.69,307.2,,282.37,,233.57,,315.04,,220.84,,,,,,,,,,,,,,
2004-01-19,2004,1,254.4,247.46,,231.38,237.76,,367.52,286.17,247.66,274.2,251.39,306.76,,282.7,,232.15,,315.53,,222.04,,,,,,,,,,,,,,
2004-01-26,2004,1,255.24,246.63,,234.61,238.12,,367.27,287.6,247.29,275.02,252.94,307.17,,282.11,,232.05,,316.13,,223.11,,,1.88,2.41,1.4,2.12,3.04,2.75,33383.32,29692.54,32479.67,32010.35,23451.5,44946.77
2004-02-02,2004,2,255.56,245.73,,238.17,237.75,,367.01,288.92,246.61,276.0,254.59,308.15,,283.54,,232.12,,316.56,,225.2,,,1.95,2.34,1.49,2.13,3.04,2.57,34065.35,30234.09,33022.0,32605.95,23936.67,45882.58
2004-02-09,2004,2,255.17,244.8,,241.63,239.15,,367.2,289.9,246.73,276.79,256.6,308.48,,283.24,,233.83,,317.2,,228.02,,,2.02,2.27,1.58,2.14,3.04,2.38,34747.38,30775.65,33564.33,33201.56,24421.83,46818.39
2004-02-16,2004,2,254.6,243.6,,244.57,238.67,,366.97,290.39,246.84,277.56,258.22,308.3,,282.55,,234.52,,317.81,,230.35,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-02-23,2004,2,253.96,242.54,,246.51,238.52,,367.07,290.37,246.97,277.72,260.06,308.1,,282.58,,234.62,,317.84,,232.47,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-03-01,2004,3,252.97,241.43,,248.26,238.8,,367.04,289.56,246.88,277.64,261.42,307.66,,281.63,,234.71,,317.6,,233.7,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-03-08,2004,3,252.26,240.62,,250.32,239.85,,367.38,288.36,247.12,277.61,262.22,308.06,,281.41,,236.28,,317.53,,235.02,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-03-15,2004,3,252.63,240.0,,252.16,240.65,,367.25,286.81,247.53,277.35,263.11,308.18,,281.16,,237.82,,316.94,,236.11,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-03-22,2004,3,253.17,239.54,,253.11,241.31,,367.54,285.03,247.94,276.87,263.95,308.51,,281.57,,238.87,,316.45,,236.71,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-03-29,2004,3,253.2,239.09,,253.11,241.99,,366.91,283.21,247.59,276.39,264.69,309.2,,282.05,,239.26,,315.98,,236.79,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-04-05,2004,4,252.82,238.78,,252.92,243.09,,367.5,281.92,247.42,275.74,265.2,,,282.75,,239.14,,315.13,,237.34,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-04-12,2004,4,252.41,238.54,,252.89,244.44,,367.43,280.73,247.54,275.04,265.98,,,283.4,,239.63,,314.48,,237.38,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-04-19,2004,4,251.87,238.24,,252.57,245.66,,367.53,279.95,247.55,274.27,267.3,311.56,,284.06,,241.17,,313.83,,238.55,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-04-26,2004,4,251.4,237.44,,251.42,246.62,,367.4,279.3,247.85,273.55,269.3,311.71,,284.0,,240.27,,312.77,,239.68,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-05-03,2004,5,250.45,238.03,,250.08,245.89,,367.49,279.1,,273.56,270.6,312.2,,283.26,,240.2,,311.65,,240.82,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-05-10,2004,5,249.73,238.43,,249.06,245.51,,367.49,278.76,,273.67,271.62,312.64,,281.84,,240.03,,310.45,,241.75,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-05-17,2004,5,249.76,238.82,,249.03,245.18,,367.97,278.42,,273.65,272.46,312.76,,282.04,,239.09,,308.99,,242.85,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-05-24,2004,5,250.58,239.27,,249.66,244.2,,367.88,277.51,259.5,273.74,273.38,312.6,,280.99,,238.9,,307.55,,243.74,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-05-31,2004,5,251.6,239.78,,250.28,243.75,,368.03,276.83,263.0,274.41,274.29,313.38,,280.09,,238.94,,305.76,,244.73,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-06-07,2004,6,252.79,240.2,,250.93,243.09,,367.87,275.58,266.94,275.45,275.29,315.51,,281.13,,237.33,,303.0,,244.44,,,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-06-14,2004,6,254.01,240.95,210.23,252.1,241.96,,368.51,274.51,270.78,276.53,276.23,,,282.43,130.06,238.27,174.61,300.26,,243.62,222.49,196.93,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-06-21,2004,6,255.28,240.2,211.34,253.43,243.62,,368.54,273.19,271.79,276.99,277.69,317.52,,281.68,133.0,237.65,181.11,297.2,,243.62,223.35,198.02,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-06-28,2004,6,256.56,239.59,212.71,254.59,245.61,,367.88,271.91,273.13,277.33,278.72,317.57,,282.26,134.54,236.89,186.62,294.1,,243.53,224.74,199.74,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-07-05,2004,7,257.58,239.05,213.8,255.16,247.36,,368.01,270.95,273.27,277.77,278.99,317.84,,280.76,135.79,236.98,191.11,291.08,,243.44,226.66,201.41,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-07-12,2004,7,258.01,238.51,215.37,255.23,249.17,,367.64,269.75,274.67,278.25,278.35,317.07,,280.25,140.53,237.98,193.26,287.49,,243.56,229.62,203.14,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-07-19,2004,7,258.57,237.95,216.71,255.47,250.6,,367.28,268.8,275.9,278.39,276.89,315.45,,280.41,141.99,237.15,193.87,283.59,,243.04,233.08,204.83,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
2004-07-26,2004,7,259.2,237.49,217.48,256.11,252.26,,367.36,268.3,276.17,278.51,274.56,313.17,,277.54,143.32,238.0,192.86,280.33,,242.85,236.43,206.03,2.1,2.21,1.67,2.14,3.04,2.2,35429.41,31317.2,34106.66,33797.16,24907.0,47754.2
